Fecha/Data,Descripcion,Deskribapena,Lugar,Tokia,Territorio/lurraldea,Codigo Eustat,Latitud,Longitud,,,
02/09/2020,San Antolín  ,San Antolin  ,Zeberio  ,Zeberio  ,Bizkaia,25,43,152778,-2,852778,
15/10/2020,Día de la Independencia de Zierbena  ,Zierbenako Independentziaren Eguna  ,Zierbena  ,Zierbena  ,Bizkaia,913,43,347655,-3,86152,
24/06/2020,San Juan,San Juan,Ziortza-Bolibar  ,Ziortza-Bolibar  ,Bizkaia,915,43,249820,-2,550174,
24/06/2020,San Juan,San Juan,Abaltzisketa  ,Abaltzisketa  ,Gipuzkoa,1,43,47582,-2,105388,
14/08/2020,Fiesta local,Tokiko jai-eguna,Aduna  ,Aduna  ,Gipuzkoa,2,43,203792,-2,50079,
07/08/2020,Fiesta local,Tokiko jai-eguna,Aia  ,Aia  ,Gipuzkoa,16,43,236922,-2,149008,
29/09/2020,San Miguel Arcángel,Mikel Goi Angerua,Aizarnazabal  ,Aizarnazabal  ,Gipuzkoa,3,43,255405,-2,236461,
17/08/2020,Fiesta local,Tokiko jaieguna,Albiztur  ,Albiztur  ,Gipuzkoa,4,43,129723,-2,137180,
16/07/2020,Fiesta local,Tokiko jaieguna,Alegia  ,Alegia  ,Gipuzkoa,5,43,100017,-2,96273,
08/09/2020,Natividad de la Virgen,Amabirjinaren jaiotze eguna,Alkiza  ,Alkiza  ,Gipuzkoa,6,43,172434,-2,109436,
29/09/2020,San Miguel,Migel Deuna,Altzaga  ,Altzaga  ,Gipuzkoa,906,43,64490,-2,153833,
24/02/2020,Lunes de Carnaval  ,Iñauterietako Astelehena,Altzo  ,Altzo  ,Gipuzkoa,7,43,100072,-2,83905,
24/08/2020,San Bartolomé,Bartolome Deuna,Amezketa  ,Amezketa  ,Gipuzkoa,8,43,44517,-2,83235,
24/06/2020,San Juan,San Juan,Andoain  ,Andoain  ,Gipuzkoa,9,43,220480,-2,21122,
11/06/2020,Corpus Christi  ,Gorpuzti-eguna,Anoeta  ,Anoeta  ,Gipuzkoa,10,43,161467,-2,70695,
